,report_date,report_source,ext_massacres_cum,killed,killed_cum,ext_killed,ext_killed_cum,ext_killed_children_cum,ext_killed_women_cum,injured_cum,ext_injured,ext_injured_cum,ext_civdef_killed_cum,med_killed_cum,ext_med_killed_cum,press_killed_cum,ext_press_killed_cum,killed_children_cum,killed_women_cum,injured,massacres_cum,civdef_killed_cum
179,2024-04-03,mohtel,2922,59.0,32975.0,59,32975,14500,9560,75577.0,83,75577,65,484.0,484,140.0,140,14500.0,9560.0,83.0,2922.0,65.0
180,2024-04-04,mohtel,2928,62.0,33037.0,62,33037,14500,9560,75668.0,91,75668,65,,484,,140,,,91.0,,
181,2024-04-05,mohtel,2933,54.0,33091.0,54,33091,14500,9560,75750.0,82,75750,65,,484,,140,,,82.0,,
182,2024-04-06,mohtel,2937,46.0,33137.0,46,33137,14500,9560,75815.0,65,75815,65,,484,,140,,,65.0,,
183,2024-04-07,mohtel,2941,38.0,33175.0,38,33175,14500,9560,75886.0,71,75886,65,,484,,140,,,71.0,,
184,2024-04-08,mohtel,2941,32.0,33207.0,32,33207,14520,9568,75933.0,47,75933,65,485.0,485,140.0,140,14520.0,9568.0,47.0,2941.0,65.0
185,2024-04-09,mohtel,2948,153.0,33360.0,153,33360,14520,9568,75993.0,60,75993,65,,485,,140,,,60.0,,
186,2024-04-10,mohtel,2954,122.0,33482.0,122,33482,14520,9568,76049.0,56,76049,65,,485,,140,,,56.0,,
187,2024-04-11,mohtel,2960,63.0,33545.0,63,33545,14520,9568,76094.0,45,76094,65,,485,,140,,,45.0,,
188,2024-04-12,mohtel,2968,89.0,33634.0,89,33634,14520,9568,76214.0,120,76214,65,,485,,140,,,120.0,,
189,2024-04-13,mohtel,2973,52.0,33686.0,52,33686,14560,9582,76309.0,95,76309,66,485.0,485,140.0,140,14560.0,9582.0,95.0,2973.0,66.0
190,2024-04-14,mohtel,2977,43.0,33729.0,43,33729,14560,9582,76371.0,62,76371,66,,485,,140,,,62.0,,
191,2024-04-15,mohtel,2984,68.0,33797.0,68,33797,14560,9582,76465.0,94,76465,66,,485,,140,,,94.0,,
192,2024-04-16,mohtel,2989,46.0,33843.0,46,33843,14560,9582,76575.0,110,76575,66,,485,,140,,,110.0,,
193,2024-04-17,mohtel,2995,56.0,33899.0,56,33899,14560,9582,76664.0,89,76664,66,,485,,140,,,89.0,,
194,2024-04-18,mohtel,3002,71.0,33970.0,71,33970,14685,9670,76770.0,106,76770,66,485.0,485,140.0,140,14685.0,9670.0,106.0,3002.0,66.0
195,2024-04-19,mohtel,3006,42.0,34012.0,42,34012,14685,9670,76833.0,63,76833,66,,485,,140,,,63.0,,
196,2024-04-20,mohtel,3010,37.0,34049.0,37,34049,14685,9670,76901.0,68,76901,66,,485,,140,,,68.0,,
197,2024-04-21,mohtel,3015,48.0,34097.0,48,34097,14685,9670,76980.0,79,76980,66,,485,,140,,,79.0,,
198,2024-04-22,mohtel,3021,54.0,34151.0,54,34151,14685,9670,77084.0,104,77084,66,,485,,140,,,104.0,,
199,2024-04-23,mohtel,3025,32.0,34183.0,32,34183,14778,9752,77143.0,59,77143,67,485.0,485,140.0,140,14778.0,9752.0,59.0,3025.0,67.0
200,2024-04-24,mohtel,3031,79.0,34262.0,79,34262,14778,9752,77229.0,86,77229,67,,485,,140,,,86.0,,
201,2024-04-25,mohtel,3036,43.0,34305.0,43,34305,14778,9752,77293.0,64,77293,67,,485,141.0,141,,,64.0,,
202,2024-04-26,mohtel,3041,51.0,34356.0,51,34356,14778,9752,77368.0,75,77368,67,,485,,141,,,75.0,,
203,2024-04-27,mohtel,3045,32.0,34388.0,32,34388,14778,9752,77437.0,69,77437,67,,485,,141,,,69.0,,
204,2024-04-28,mohtel,3052,66.0,34454.0,66,34454,14873,9801,77575.0,138,77575,67,491.0,491,141.0,141,14873.0,9801.0,138.0,3052.0,67.0
205,2024-04-29,mohtel,3055,34.0,34488.0,34,34488,14873,9801,77643.0,68,77643,67,,491,,141,,,68.0,,
206,2024-04-30,mohtel,3060,47.0,34535.0,47,34535,14873,9801,77704.0,61,77704,67,,491,,141,,,61.0,,
207,2024-05-01,mohtel,3064,33.0,34568.0,33,34568,14873,9801,77765.0,61,77765,67,,491,,141,,,61.0,,
208,2024-05-02,mohtel,3067,28.0,34596.0,28,34596,14873,9801,77816.0,51,77816,67,,491,,141,,,51.0,,
209,2024-05-03,mohtel,3070,26.0,34622.0,26,34622,14944,9849,77867.0,51,77867,68,492.0,492,141.0,141,14944.0,9849.0,51.0,3070.0,68.0
210,2024-05-04,mohtel,3073,32.0,34654.0,32,34654,14944,9849,77908.0,41,77908,68,,492,,141,,,41.0,,
211,2024-05-05,mohtel,3076,29.0,34683.0,29,34683,14944,9849,78018.0,110,78018,68,,492,,141,,,110.0,,
212,2024-05-06,mohtel,3081,52.0,34735.0,52,34735,14944,9849,78108.0,90,78108,68,,492,142.0,142,,,90.0,,
213,2024-05-07,mohtel,3087,54.0,34789.0,54,34789,14944,9849,78204.0,96,78204,68,,492,,142,,,96.0,,
214,2024-05-08,mohtel,3094,55.0,34844.0,55,34844,15002,9893,78404.0,200,78404,68,492.0,492,142.0,142,15002.0,9893.0,200.0,3094.0,68.0
215,2024-05-09,mohtel,3098,60.0,34904.0,60,34904,15002,9893,78514.0,110,78514,68,,492,,142,,,110.0,,
216,2024-05-10,mohtel,3104,39.0,34943.0,39,34943,15002,9893,78572.0,58,78572,68,,492,,142,,,58.0,,
217,2024-05-11,mohtel,3108,28.0,34971.0,28,34971,15002,9893,78641.0,69,78641,68,,492,143.0,143,,,69.0,,
218,2024-05-12,mohtel,3116,63.0,35034.0,63,35034,15002,9893,78755.0,114,78755,68,,492,,143,,,114.0,,
219,2024-05-13,mohtel,3123,57.0,35091.0,57,35091,15103,9961,78827.0,72,78827,69,492.0,492,143.0,143,15103.0,9961.0,72.0,3123.0,69.0
220,2024-05-14,mohtel,3131,82.0,35173.0,82,35173,15103,9961,79061.0,234,79061,69,,492,,143,,,234.0,,
221,2024-05-15,mohtel,3136,60.0,35233.0,60,35233,15103,9961,79141.0,80,79141,69,,492,,143,,,80.0,,
222,2024-05-16,mohtel,3140,39.0,35272.0,39,35272,15103,9961,79205.0,64,79205,69,,492,147.0,147,,,64.0,,
223,2024-05-17,mohtel,3144,31.0,35303.0,31,35303,15103,9961,79261.0,56,79261,69,,492,,147,,,56.0,,
224,2024-05-18,mohtel,3153,83.0,35386.0,83,35386,15162,10018,79366.0,105,79366,69,492.0,492,147.0,147,15162.0,10018.0,105.0,3153.0,69.0
225,2024-05-19,mohtel,3161,70.0,35456.0,70,35456,15162,10018,79476.0,110,79476,69,,492,,147,,,110.0,,
226,2024-05-20,mohtel,3171,106.0,35562.0,106,35562,15162,10018,79652.0,176,79652,69,,492,,147,,,176.0,,
227,2024-05-21,mohtel,3176,85.0,35647.0,85,35647,15162,10018,79852.0,200,79852,69,,492,,147,,,200.0,,
228,2024-05-22,mohtel,3182,62.0,35709.0,62,35709,15162,10018,79990.0,138,79990,69,,492,,147,,,138.0,,
229,2024-05-23,mohtel,3191,91.0,35800.0,91,35800,15239,10093,80200.0,210,80200,69,493.0,493,147.0,147,15239.0,10093.0,210.0,3191.0,69.0
230,2024-05-24,mohtel,3197,57.0,35857.0,57,35857,15239,10093,80293.0,93,80293,69,,493,,147,,,93.0,,
231,2024-05-25,mohtel,3202,46.0,35903.0,46,35903,15239,10093,80420.0,127,80420,69,,493,,147,,,127.0,,
232,2024-05-26,mohtel,3210,81.0,35984.0,81,35984,15239,10093,80643.0,223,80643,69,,493,,147,,,223.0,,
233,2024-05-27,mohtel,3217,66.0,36050.0,66,36050,15239,10093,81026.0,383,81026,69,495.0,495,,147,,,383.0,,
234,2024-05-28,mohtel,3222,46.0,36096.0,46,36096,15328,10171,81136.0,110,81136,69,496.0,496,147.0,147,15328.0,10171.0,110.0,3222.0,69.0
235,2024-05-29,mohtel,3228,75.0,36171.0,75,36171,15328,10171,81420.0,284,81420,69,,496,,147,,,284.0,,
236,2024-05-30,mohtel,3233,53.0,36224.0,53,36224,15328,10171,81777.0,357,81777,69,498.0,498,,147,,,357.0,,
237,2024-05-31,mohtel,3238,60.0,36284.0,60,36284,15328,10171,82057.0,280,82057,69,,498,,147,,,280.0,,
238,2024-06-01,mohtel,3243,95.0,36379.0,95,36379,15328,10171,82407.0,350,82407,69,,498,,147,,,350.0,,
239,2024-06-02,mohtel,3247,60.0,36439.0,60,36439,15348,10231,82627.0,220,82627,70,498.0,498,147.0,147,15348.0,10231.0,220.0,3247.0,70.0
240,2024-06-03,mohtel,3251,40.0,36479.0,40,36479,15348,10231,82777.0,150,82777,70,,498,,147,,,150.0,,
241,2024-06-04,mohtel,3258,71.0,36550.0,71,36550,15348,10231,82959.0,182,82959,70,,498,,147,,,182.0,,
242,2024-06-05,mohtel,3262,36.0,36586.0,36,36586,15348,10231,83074.0,115,83074,70,,498,,147,,,115.0,,
243,2024-06-06,mohtel,3268,68.0,36654.0,68,36654,15348,10231,83309.0,235,83309,70,,498,,147,,,235.0,,
244,2024-06-07,mohtel,3276,77.0,36731.0,77,36731,15517,10279,83530.0,221,83530,70,498.0,498,147.0,147,15517.0,10279.0,221.0,3276.0,70.0
245,2024-06-08,mohtel,3281,70.0,36801.0,70,36801,15517,10279,83680.0,150,83680,70,,498,,147,,,150.0,,
246,2024-06-09,mohtel,3289,283.0,37084.0,283,37084,15517,10279,84494.0,814,84494,70,,498,150.0,150,,,814.0,,
247,2024-06-10,mohtel,3294,40.0,37124.0,40,37124,15517,10279,84712.0,218,84712,70,,498,,150,,,218.0,,
248,2024-06-11,mohtel,3297,40.0,37164.0,40,37164,15517,10279,84832.0,120,84832,70,,498,,150,,,120.0,,
249,2024-06-12,mohtel,3300,38.0,37202.0,38,37202,15694,10367,84932.0,100,84932,70,498.0,498,150.0,150,15694.0,10367.0,100.0,3300.0,70.0
250,2024-06-13,mohtel,3303,30.0,37232.0,30,37232,15694,10367,85037.0,105,85037,70,,498,,150,,,105.0,,
251,2024-06-14,mohtel,3307,34.0,37266.0,34,37266,15694,10367,85102.0,65,85102,70,,498,,150,,,65.0,,
252,2024-06-15,mohtel,3310,30.0,37296.0,30,37296,15694,10367,85197.0,95,85197,70,,498,,150,,,95.0,,
253,2024-06-16,mohtel,3313,41.0,37337.0,41,37337,15694,10367,85299.0,102,85299,70,,498,,150,,,102.0,,
254,2024-06-17,mohtel,3315,10.0,37347.0,10,37347,15747,10406,85372.0,73,85372,70,498.0,498,151.0,151,15747.0,10406.0,73.0,3315.0,70.0
255,2024-06-18,mohtel,3318,25.0,37372.0,25,37372,15747,10406,85452.0,80,85452,70,,498,,151,,,80.0,,
256,2024-06-19,mohtel,3321,24.0,37396.0,24,37396,15747,10406,85523.0,71,85523,70,,498,,151,,,71.0,,
257,2024-06-20,mohtel,3325,35.0,37431.0,35,37431,15747,10406,85653.0,130,85653,70,,498,,151,,,130.0,,
258,2024-06-21,mohtel,3328,19.0,37450.0,19,37450,15747,10406,85742.0,89,85742,70,,498,,151,,,89.0,,
259,2024-06-22,mohtel,3331,101.0,37551.0,101,37551,15821,10475,85911.0,169,85911,70,499.0,499,152.0,152,15821.0,10475.0,169.0,,70.0
