,report_date,report_source,ext_massacres_cum,killed,killed_cum,ext_killed,ext_killed_cum,ext_killed_children_cum,ext_killed_women_cum,injured_cum,ext_injured,ext_injured_cum,ext_civdef_killed_cum,med_killed_cum,ext_med_killed_cum,press_killed_cum,ext_press_killed_cum,killed_children_cum,killed_women_cum,injured,massacres_cum,civdef_killed_cum
26,2023-11-02,mohtel,965,256.0,9061.0,256,9061,3760,2326,22911.0,671,22911,18,134.0,134,,35,3760.0,2326.0,,965.0,
27,2023-11-03,mohtel,997,196.0,9257.0,196,9257,3826,2405,23516.0,605,23516,18,136.0,136,,35,3826.0,2405.0,,997.0,
28,2023-11-04,mohtel,1006,228.0,9485.0,228,9485,3900,2509,24158.0,642,24158,18,150.0,150,,35,3900.0,2509.0,,1006.0,
29,2023-11-05,mohtel,1031,285.0,9770.0,285,9770,4008,2550,24808.0,650,24808,18,175.0,175,,35,4008.0,2550.0,,1031.0,
30,2023-11-06,gmotel,1031,252.0,10022.0,252,10022,4108,2610,25000.0,192,25000,18,192.0,192,,35,,,,,
31,2023-11-07,mohtel,1071,306.0,10328.0,306,10328,4237,2719,25956.0,956,25956,18,192.0,192,,35,4237.0,2719.0,,1071.0,
32,2023-11-08,mohtel,1098,241.0,10569.0,241,10569,4324,2823,26475.0,519,26475,18,193.0,193,,35,4324.0,2823.0,,1098.0,
33,2023-11-09,mohtel,1118,249.0,10818.0,249,10818,4412,2918,26905.0,430,26905,18,195.0,195,,35,4412.0,2918.0,,1118.0,
34,2023-11-10,mohtel,1130,260.0,11078.0,260,11078,4506,3027,27490.0,585,27490,20,198.0,198,49.0,49,4506.0,3027.0,,1130.0,20.0
35,2023-11-11,missing,1130,,,51,11129,4540,3044,,355,27845,20,,198,49.0,49,,,,,20.0
36,2023-11-12,gmotel,1142,,11180.0,51,11180,4609,3100,28200.0,355,28200,20,198.0,198,49.0,49,4609.0,3100.0,,1142.0,20.0
37,2023-11-13,gmotel,1153,,11240.0,60,11240,4630,3130,29000.0,800,29000,21,198.0,198,51.0,51,4630.0,3130.0,,1153.0,21.0
38,2023-11-14,gmotel,1165,,11320.0,80,11320,4650,3145,29200.0,200,29200,22,198.0,198,51.0,51,4650.0,3145.0,,1165.0,22.0
39,2023-11-15,gmotel,1200,,11500.0,180,11500,4710,3160,29800.0,600,29800,22,200.0,200,51.0,51,4710.0,3160.0,,1200.0,22.0
40,2023-11-16,missing,1200,,,500,12000,5000,3300,,100,29900,22,,200,51.0,51,,,,,
41,2023-11-17,gmotel,1270,,12000.0,0,12000,5000,3300,30000.0,100,30000,22,200.0,200,51.0,51,5000.0,3300.0,,1270.0,22.0
42,2023-11-18,gmotel,1300,,12300.0,300,12300,5000,3300,30000.0,0,30000,22,200.0,200,56.0,56,5000.0,3300.0,,1300.0,22.0
43,2023-11-19,gmotel,1330,,13000.0,700,13000,5500,3500,30000.0,0,30000,22,201.0,201,60.0,60,5500.0,3500.0,,1330.0,22.0
44,2023-11-20,gmotel,1340,,13300.0,300,13300,5600,3550,31000.0,1000,31000,22,201.0,201,60.0,60,5600.0,3550.0,,1340.0,22.0
45,2023-11-21,gmotel,1354,,14128.0,828,14128,5840,3920,33000.0,2000,33000,22,205.0,205,,60,5840.0,3920.0,,1354.0,
46,2023-11-22,gmotel,1384,,14532.0,404,14532,6000,4000,35000.0,2000,35000,25,205.0,205,64.0,64,6000.0,4000.0,,1384.0,25.0
47,2023-11-23,gmotel,1400,,14800.0,268,14800,6150,4000,36000.0,1000,36000,26,207.0,207,65.0,65,6150.0,4000.0,,1400.0,26.0
48,2023-11-24,missing,1400,,14800.0,0,14800,6150,4000,,0,36000,26,,207,,65,,,,,
49,2023-11-25,missing,1400,,14800.0,0,14800,6150,4000,,0,36000,26,,207,67.0,67,,,,,
50,2023-11-26,missing,1400,,14800.0,0,14800,6150,4000,,0,36000,26,,207,,67,,,,,
51,2023-11-27,gmotel,1400,,14800.0,0,14800,6150,4000,36000.0,0,36000,26,207.0,207,70.0,70,6150.0,4000.0,,1400.0,26.0
52,2023-11-28,gmotel,1400,,14800.0,0,14800,6150,4000,36000.0,0,36000,26,207.0,207,70.0,70,6150.0,4000.0,,1400.0,26.0
53,2023-11-29,missing,1400,,14800.0,0,14800,6150,4000,,0,36000,26,,207,70.0,70,6150.0,4000.0,,,
54,2023-11-30,missing,1400,,14800.0,0,14800,6150,4000,,0,36000,26,,207,70.0,70,6150.0,4000.0,,,
55,2023-12-01,mohtel,1400,,14800.0,0,14800,6150,4000,37000.0,1000,37000,26,280.0,280,73.0,73,6150.0,4000.0,,,
56,2023-12-02,mohtel,1450,407.0,15207.0,407,15207,6387,4257,40652.0,3652,40652,26,280.0,280,76.0,76,6387.0,4257.0,652.0,1450.0,26.0
57,2023-12-03,mohtel,1473,316.0,15523.0,316,15523,6600,4300,41316.0,664,41316,26,281.0,281,77.0,77,6600.0,4300.0,664.0,1473.0,26.0
58,2023-12-04,mohtel,1473,376.0,15899.0,376,15899,6800,4500,42000.0,684,42000,26,283.0,283,,77,,,750.0,,
59,2023-12-05,gmotel,1550,725.0,16248.0,349,16248,7112,4885,43616.0,1616,43616,32,286.0,286,81.0,81,7112.0,4885.0,,1550.0,32.0
60,2023-12-06,missing,1550,,,579,16827,7550,5000,,1192,44808,32,,286,,81,,,,,
61,2023-12-07,mohtel,1576,350.0,17177.0,350,17177,7729,5153,46000.0,1192,46000,32,290.0,290,81.0,81,7729.0,5153.0,1900.0,1576.0,32.0
62,2023-12-08,mohtel,1576,313.0,17487.0,310,17487,7729,5246,46480.0,480,46480,32,,295,,81,,,558.0,,
63,2023-12-09,mohtel,1596,210.0,17700.0,213,17700,7870,6121,48780.0,2300,48780,32,295.0,295,,81,7870.0,6121.0,2300.0,,
64,2023-12-10,mohtel,1617,297.0,17997.0,297,17997,7875,6130,49229.0,449,49229,32,296.0,296,,81,7875.0,6130.0,449.0,,
65,2023-12-11,mohtel,1636,208.0,18205.0,208,18205,7900,6150,49645.0,416,49645,32,,296,,81,,,416.0,,
66,2023-12-12,mohtel,1644,207.0,18412.0,207,18412,8000,6200,50100.0,455,50100,32,300.0,300,86.0,86,8000.0,6200.0,450.0,1644.0,32.0
67,2023-12-13,mohtel,1660,196.0,18608.0,196,18608,8000,6200,50594.0,494,50594,32,300.0,300,,86,,,499.0,,
68,2023-12-14,mohtel,1678,179.0,18787.0,179,18787,8000,6200,50897.0,303,50897,32,300.0,300,,86,,,303.0,,
69,2023-12-15,gmotel,1680,,18800.0,13,18800,8000,6200,51000.0,103,51000,32,300.0,300,89.0,89,8000.0,6200.0,,1680.0,32.0
70,2023-12-16,missing,1680,,,217,19017,8000,6200,,200,51200,32,,300,,89,,,,,
71,2023-12-17,missing,1680,,,218,19235,8000,6200,,543,51743,32,,300,,89,,,,,
72,2023-12-18,mohtel,1696,151.0,19453.0,218,19453,8000,6200,52286.0,543,52286,32,300.0,300,96.0,96,8000.0,6200.0,313.0,,32.0
73,2023-12-19,mohtel,1697,214.0,19667.0,214,19667,8000,6200,52586.0,300,52586,35,310.0,310,97.0,97,8000.0,6200.0,300.0,1697.0,35.0
74,2023-12-20,mohtel,1697,,,130,19797,8000,6200,,245,52831,35,310.0,310,97.0,97,8000.0,6200.0,,,35.0
75,2023-12-21,mohtel,1697,,,130,19927,8000,6200,,244,53075,35,,310,,97,,,,,
76,2023-12-22,mohtel,1697,390.0,20057.0,130,20057,8000,6200,53320.0,245,53320,35,,310,,97,,,734.0,,
77,2023-12-23,mohtel,1697,201.0,20258.0,201,20258,8200,6200,53688.0,368,53688,35,310.0,310,100.0,100,8200.0,,368.0,,35.0
78,2023-12-24,mohtel,1697,166.0,20424.0,166,20424,8200,6200,54036.0,348,54036,35,,310,,97,,,384.0,,
79,2023-12-25,mohtel,1745,250.0,20674.0,250,20674,8500,6300,54536.0,500,54536,40,311.0,311,103.0,103,8500.0,6300.0,500.0,1745.0,40.0
80,2023-12-26,mohtel,1763,241.0,20915.0,241,20915,8500,6300,54918.0,382,54918,40,,311,,103,,,382.0,,
81,2023-12-27,mohtel,1779,195.0,21110.0,195,21110,8800,6300,55243.0,325,55243,40,311.0,311,103.0,103,8800.0,6300.0,325.0,1779.0,40.0
82,2023-12-28,mohtel,1799,210.0,21320.0,210,21320,8800,6300,55603.0,360,55603,40,,311,,103,,,360.0,,
83,2023-12-29,mohtel,1799,187.0,21507.0,187,21507,8800,6300,55915.0,312,55915,40,,311,,103,,,312.0,,
